УИН,количество этажей всего,высота объекта,Этажность объекта подземная,Этажность объекта наземная,Количество квартир,Общая площадь объекта,Площадь жилых помещений объекта,lon,lat,pricemetr,metroprox,rwprox,medprox,kidprox,schoolprox,cemetprox,industrprox,liveratio,highratio
HH7071-10-0001-001,20.0,68.9,2.0,18.0,1106.0,324241.6,128632.0,37.572245986084496,55.714341154230915,0.8511047652721219,0.012091579429716679,0.011094149456660261,0.010940900139363613,0.004418414525482379,0.005808987204087276,0.018937542406544654,0.02829150707447827,0.3967165224943376,3.827777777777778
HG5170-10-0002-001,34.0,99.84,1.0,33.0,544.0,41585.7,27863.1,37.50412476016218,55.883042641452754,0.22370227094260872,0.023779312952643756,0.01374763250616423,0.00524670155688992,0.0009316454245900706,0.0034053554800100817,0.01016726470976331,0.0042339598265297785,0.6700163758214963,3.0254545454545454
HG9591-10-0001-001,55.0,182.4,2.0,53.0,1169.0,71496.4,45639.3,37.65031398283292,55.848843219380754,0.4367890186319145,0.0068040118546919374,0.009849998338703595,0.008233340083380957,0.00498110901669054,0.005458128835581716,0.007408933089781895,0.012909595877439096,0.6383440285105265,3.4415094339622643
HG4493-10-0001-001,31.0,99.81,2.0,29.0,966.0,94085.0,51766.3,37.48173037879935,55.84325286265132,0.26622764921422093,0.005916333711953387,0.011893703397219294,0.007096412952388721,0.0045117866529580134,0.0028046383403578976,0.02103152736640451,0.00397957262711672,0.5502077908274433,3.4417241379310344
GI9517-10-0002-002,18.0,54.55,1.0,13.0,609.0,48074.8,34516.4,37.31935913415353,55.63822668361239,0.23104531332295486,0.016277111811458203,0.012415430146998835,0.011027238609934861,0.0010506634823987799,0.005333842028681319,0.044599764395118535,0.010276741885812858,0.717972825679982,4.196153846153846
HI0713-10-0002-001,24.0,73.05,1.0,24.0,572.0,43022.0,32278.0,37.357724797870766,55.6427214741782,0.2362778941566472,0.004056754612400054,0.011529957374536296,0.00810024503553272,0.0021982760228623087,0.0022217538121606507,0.02291049395432607,0.0028432472164378513,0.7502673050997164,3.0437499999999997
IH1360-10-0002-001,14.0,47.12,1.0,13.0,300.0,28126.0,15516.4,37.712356688336435,55.73250883442895,0.2754552332351962,0.017457683209635,0.009516358701447052,0.003247727572062507,0.0024726879218513863,0.0035548641175388884,0.023262027375297804,0.018824288313569647,0.55167460712508,3.6246153846153844
HH8575-10-0001-001,44.0,149.8,2.0,42.0,916.0,88365.6,53957.8,37.6184668272527,55.70704052693988,0.4955412134794134,0.004643741043477788,0.00493587815973285,0.007473463793190947,0.0009030248260873078,0.0024395915338185927,0.010093605940738569,0.015608334151929477,0.6106199697619888,3.566666666666667
GI9364-10-0008-001,10.0,36.625,1.0,9.0,422.0,26190.5,16815.0,37.31452662552102,55.55654362374772,0.1330986185400847,0.08016695499917781,0.05436494276399289,0.011011274168463524,0.003554017915040898,0.003554017915040898,0.02918819342482893,0.04379464634763614,0.6420266890666463,4.069444444444445
TT0000-10-0736-001,17.0,65.325,1.0,16.0,118.0,13414.4,8176.0,37.6487852672759,55.851884243987094,0.509900072935872,0.005143160112820397,0.009324292747260383,0.008636729892718947,0.0037877408493059,0.00591267055246399,0.008903650490010137,0.013921018790908232,0.6094942748091603,4.0828125
IH0733-10-0003-001,29.0,98.15,2.0,27.0,510.0,47466.0,29443.5,37.69259929261776,55.77724437560652,0.4405969894651163,0.012047949572531195,0.012848106380846137,0.01247106392075979,0.0018724555810132393,0.004479466778083764,0.014097586401920164,0.006485930449984672,0.6203071672354948,3.6351851851851853
HI0445-10-0001-001,23.0,68.32,1.0,22.0,364.0,26521.9,21536.9,37.36137920845884,55.60761622402788,0.22129724633765424,0.032618112077297735,0.02812185896326977,0.010167723972630181,0.0028324556791371617,0.005797863179032532,0.02606068379074814,0.03400901007042216,0.8120421236789219,3.105454545454545
HH2869-10-0003-001,29.0,99.7,1.0,28.0,768.0,66574.6,42512.3,37.42986869017649,55.717774678280264,0.3216330605905128,0.02067551123141123,0.013248078150762484,0.003862634830668631,0.0019205402594325654,0.00404579670769566,0.014432194859568308,0.014212719762519139,0.638566360143358,3.560714285714286
II1113-10-0001-001,20.0,63.75,1.0,19.0,455.0,33992.68,22320.17,37.704680982132516,55.64394345034839,0.37428232924788285,0.032294052525307586,0.020684625499725717,0.0018028070550176847,0.00313418203023906,0.008622385487735746,0.029776876555206114,0.01881400025029975,0.6566169540030382,3.3552631578947367
HH9280-10-0001-001,44.0,150.0,4.0,40.0,846.0,156405.4,56139.9,37.6402145494212,55.69831642680371,0.41348275366043385,0.019739442276950743,0.008396466935150277,0.004412132673582376,0.005006919141881101,0.0031958342554312567,0.031728376891863204,0.00679165272703467,0.35893837425050545,3.75
HI4068-10-0001-001,24.0,72.71,1.0,23.0,531.0,32585.0,23623.2,37.474136757358984,55.54994313615941,0.2670221362740695,0.012266248022477604,0.05116790616617338,0.01287309095988592,0.0013448374750439935,0.006089840817253377,0.023422259354294424,0.071719513447138,0.7249716127052325,3.1613043478260865
HH1670-10-0001-001,11.0,35.9,1.0,10.0,261.0,29522.4,15688.0,37.38924666555902,55.71594047292855,0.23691846388627155,0.03718477695570131,0.012977699158902909,0.007780120955471949,0.001446686373859463,0.0025102823711277583,0.03270611412655482,0.027373610899639737,0.5313931116711378,3.59
HH6136-10-0001-001,49.0,171.19,2.0,47.0,1273.0,113568.0,68775.2,37.5365220321346,55.770430558783396,0.4821472449633478,0.010653742065622513,0.011366200801274581,0.012541796812022363,0.005722156962241995,0.006507550785617229,0.016033697067668263,0.011047201974422953,0.6055860805860805,3.642340425531915
HH8758-10-0001-001,7.0,19.6,1.0,6.0,58.0,18375.0,7745.0,37.62616759620537,55.73538775093331,0.567320878924568,0.006005399894643987,0.02263405907063734,0.010094384480697867,0.001411533668033621,0.006729038066918839,0.03303778218121932,0.015428781061897785,0.42149659863945577,3.266666666666667
HG1339-10-0001-001,18.0,54.18,1.0,17.0,1289.0,84691.9,56189.79,37.360261466401674,55.93611705076074,0.2566829728728962,0.08020324856725736,0.017263660454623592,0.01593298659831086,0.004033737008047152,0.004654844071081739,0.032014945322260305,0.12182778116857639,0.6634612046724658,3.1870588235294117
HH9011-99-0001-001,24.0,78.9,1.0,23.0,167.0,17956.1,10841.0,37.634385574897266,55.81422296440366,0.4044587149296296,0.007748974500040169,0.017886341335952693,0.005447444174619178,0.0044513411829054435,0.00568639380729391,0.010698488746736162,0.0060205214648058536,0.6037502575726356,3.430434782608696
HG5977-10-0001-001,34.0,99.77,1.0,33.0,512.0,29929.0,19507.4,37.50712920818263,55.880257254079424,0.28549262629245525,0.02635967222843653,0.016102581963036273,0.0017568053179391604,0.0009497322754833217,0.0031806033978056462,0.014186712628139392,0.007265756205058143,0.6517892345217015,3.0233333333333334
HH5139-10-0002-001,47.0,159.75,2.0,45.0,545.0,48716.8,38727.4,37.50413136238556,55.767692354384685,0.4803229823222807,0.017498588029945663,0.010370035288903645,0.008417565758520847,0.001226283634626195,0.0031729735417318386,0.047543649024714425,0.006791336035852537,0.7949495861797162,3.55
HH0418-10-0002-001,26.0,76.71,1.0,25.0,1056.0,76762.2,52066.5,37.348298227137995,55.801605803036736,0.2569183506461056,0.028228422801894464,0.023753977991532504,0.013206260496098016,0.001608627292990962,0.001642638089329252,0.025956264547980668,0.018132495822546172,0.6782830611941816,3.0683999999999996
HG6892-10-0001-001,20.0,58.495,1.0,19.0,198.0,13596.4,9197.0,37.56203649611229,55.8457784830793,0.32521277378369134,0.01035775871108611,0.009592806488302914,0.014606604402116882,0.006515112323227903,0.0037724358674015046,0.029306469066398062,0.005991001112585351,0.6764290547497868,3.0786842105263155
IH2211-10-0002-001,30.0,99.98,1.0,29.0,803.0,59859.4,37515.4,37.740807726540304,55.81376149721489,0.3335383873939748,0.006532958636003637,0.005186854760256194,0.01612087350396056,0.002428014425552602,0.005085861945367002,0.013653079870994235,0.04107209694339159,0.6267252929364477,3.4475862068965517
HH7236-10-0001-001,17.0,95.9,3.0,14.0,66.0,12960.6,6346.8,37.57500572143127,55.772412071795515,0.9443406307002888,0.009583111143477081,0.01988582178221241,0.00993979655275389,0.0009587750791987562,0.002739542335237332,0.02134014052367004,0.007216386764843072,0.4896995509467154,6.8500000000000005
TT0000-10-0892-001,27.0,91.68,2.0,25.0,287.0,22813.1,13732.7,37.476376072824046,55.697987749206575,0.3759691131103531,0.013100149301089384,0.009915404598817425,0.014542043532554196,0.0062713961985974035,0.00889870842511605,0.04493353699581233,0.03365151053591805,0.6019655373447713,3.6672000000000002
HH9068-10-0002-001,48.0,165.0,2.0,46.0,902.0,78355.5,54287.0,37.63630768885487,55.71842228862142,0.4274583228316215,0.014016290936125535,0.00312157097828044,0.008577858167564578,0.007278458237761142,0.006065952408056152,0.031075833555271694,0.006687689820876517,0.6928294759142626,3.5869565217391304
HH6749-10-0001-001,21.0,74.99,3.0,18.0,326.0,100379.8,40802.6,37.55603215408415,55.75055576047084,0.9587846527480879,0.011243864358057262,0.01157944690598948,0.002730505629463361,0.005464185728292132,0.005250379174865706,0.015080437598861414,0.01142544735024049,0.40648218067778574,4.16611111111111
HH6065-10-0001-001,14.0,46.65,2.0,14.0,211.0,48705.3,26409.2,37.52580878100729,55.718516186604745,0.7452668923745652,0.01486597890726918,0.01741005798885168,0.01309933276410101,0.007767511274535795,0.009564282923391407,0.030422517023212414,0.024342843554361168,0.5422243575134533,3.332142857142857
II2000-10-0001-001,26.0,76.81,1.0,25.0,1425.0,83812.4,55216.8,37.73659678232353,55.66680239954166,0.2996571054889716,0.015745262607271212,0.01340390156330226,0.0038860910819248848,0.002634879021756656,0.0020646058886542125,0.034783384491452615,0.003962964407667187,0.6588142088760136,3.0724
GI8759-10-0001-001,10.0,31.0,1.0,9.0,557.0,38034.3,21874.2,37.29167489187118,55.56848762204626,0.22108731687122868,0.07861453243689129,0.040766761148183464,0.00238814164154202,0.0014354635973892035,0.0023469922546527616,0.05004167676881218,0.05147354358637096,0.5751177226871534,3.4444444444444446
IH0465-10-0001-001,40.0,114.47,2.0,38.0,889.0,60079.02,34498.0,37.68326385360913,55.72405633575091,0.3778023317054993,0.0038145823019528277,0.008646385042019849,0.009888226368434156,0.005627604698924703,0.011323839450774803,0.011006085084307279,0.009815676108713834,0.5742104315283438,3.0123684210526314
HH8789-10-0001-001,30.0,99.95,2.0,28.0,859.0,77072.46,47862.88,37.62700542671175,55.68234329581468,0.419501238125601,0.004633969777253998,0.0070749924231852486,0.004062539995243367,0.0009683300193238751,0.0021819101940660775,0.02796335469872047,0.007269331156983286,0.621011448187848,3.569642857142857
IH0949-10-0001-001,18.0,63.9,2.0,16.0,377.0,47872.0,21659.0,37.69857248969981,55.75105594262142,0.31520447049640193,0.008984199709285209,0.004218678004124105,0.01198909973267217,0.002027174695684817,0.0034419231137782303,0.02004824383738633,0.01664075309707004,0.4524356617647059,3.99375
TT0000-10-0600-001,21.0,73.155,1.0,20.0,668.0,54451.6,36637.5,37.65883845986148,55.68822844281167,0.48188889436300575,0.007773546465879488,0.014377169790688161,0.007295352219664725,0.00019950924701398804,0.0019531733195515,0.052234965678450825,0.01784195160211199,0.6728452423803892,3.65775
HH3988-10-0001-001,49.0,160.9,1.0,48.0,1303.0,90891.0,60790.7,37.46697215750239,55.68676426275696,0.3890673206438845,0.018282986759743814,0.01323925456618121,0.012245313615676672,0.0006532031156033765,0.003235512477839162,0.03055777825487522,0.021355012185754335,0.6688307973286683,3.3520833333333333
HG8174-10-0003-001,25.0,73.33,1.0,24.0,391.0,23629.41,14872.9,37.59659508818995,55.87509095157723,0.3183712834684094,0.013090765572380744,0.027706135515636356,0.00939479889199709,0.0015572584901637574,0.004726090076307,0.029616898860919984,0.003407044029250064,0.6294232484010392,3.0554166666666664
HH8981-10-0001-001,17.0,55.0,1.0,16.0,337.0,31693.3,17543.3,37.63374738740237,55.69815939895045,0.389578817431387,0.015160295147295009,0.01486462635846648,0.006367623982857437,0.0015391044659035973,0.005576768723586094,0.025412096031659396,0.010009070619421037,0.553533396648503,3.4375
HG6584-10-0001-001,24.0,73.0,1.0,23.0,1130.0,78776.63,47988.19,37.549631425868405,55.860275382823666,0.3577812247101697,0.006794075945172308,0.010281991006771758,0.007150715784544513,0.0022710971664485977,0.003686869532943713,0.04410459344761682,0.01877833499901471,0.6091678458446369,3.1739130434782608
HI0224-10-0003-001,24.0,80.88,2.0,22.0,1903.0,193605.4,108649.9,37.33980132768295,55.62502073817127,0.24003238864660567,0.010168283582558052,0.011922567058294609,0.0023434387024711214,0.0030672244246249818,0.0017953786297088728,0.03880641531785107,0.02640234977075125,0.561192508060209,3.6763636363636363
HH8155-10-0001-001,7.0,23.85,1.0,6.0,19.0,6381.5,3410.3,37.604359863995036,55.74021607820993,0.7689144983735907,0.005243350516479769,0.035862913033600584,0.001484494550811771,0.007205979529307577,0.0015289803771657549,0.026488036983376515,0.02398632349774889,0.5344041369583954,3.975
HH5230-10-0002-001,27.0,98.85,1.0,26.0,353.0,29058.0,20739.1,37.50962672497509,55.782258311030404,0.31687589291974244,0.01076734677170223,0.005211955773192054,0.007311197922376965,0.002206705193591097,0.0030736681029986603,0.04539176722574463,0.009567947906461921,0.7137139514075297,3.8019230769230767
