cem,lon,lat
"Алабушевское - г. Зеленоград, промзона ""Алабушево""",37.1583,55.9944
"Алексеевское - просп. Мира, вл. 132",37.64417076771602,55.818548199999995
Алтуфьевское - 85-й км МКАД,37.78223275,55.8533208
"Анкудиново - поселение Марушкинское, д. Анкудиново",37.1517299,55.5698101
"Бабушкинское - Ярославское ш., вл. 52",37.704480277814426,55.86347735
"Барыши - г. Щербинка, ул. Весенняя",37.5594,55.5072
"Белоусово - поселение Новофедоровское, д. Белоусово",36.9447,55.3772
"Богородское - ул. Краснобогатырская, вл. 81",37.708041430317536,55.80385205
"Большое Покровское - поселение Марушкинское, д. Б. Покровское",37.2089,55.5936
"Большое Свинорье - поселение Марушкинское, д. Большое Свинорье",37.2072,55.5839
"Борисовское - ул. Борисовские Пруды, вл. 4",37.74463037448402,55.63295945
"Бусиновское - ул. Краснополянская, вл. 18",37.49528618265319,55.88806785978592
"Бутовское - Южное Бутово, 36-й км Курской ж/д",37.5639,55.5269
"Былово - поселение Краснопахорское, с. Былово",37.3750,55.4472
"Былово-1 - поселение Краснопахорское, д. Былово",37.3750,55.4472
"Ваганьковское - ул. Сергея Макеева, вл. 15",37.55159696324655,55.76496925
"Ваганьковское, Армянский участок - ул. Сергея Макеева, вл. 10",37.554674631369416,55.7659276
"Варварино - поселение Краснопахорское, д. Варварино",37.3750,55.4472
"Васюнино - поселение Роговское, д. Васюнино",37.0750,55.2072
"Ватутинское - поселение Десеновское, деревня Ватутинки",37.3417,55.4972
"Введенское - ул. Наличная, вл. 1",37.705107056045506,55.7707407
"Вешняковское - ул. Юности, д. 17",37.79848065,55.72365655
"Виноградово - Дмитровское шоссе, вл. 162",37.54686941618421,55.941332599999996
"Владыкинское - ул. Станционная, вл. 8а",37.59134250031026,55.84594355
"Вороново - поселение Вороновское, вблизи с. Вороново",37.0747,55.3236
"Ворсино - поселение Вороновское, д. Ворсино",37.0747,55.3236
"Востряковское (Центральное) - ул. Озерная, вл. 47",37.4417,55.6611
"Востряковское (Северное) - ул. Озерная, вл. 47",37.4417,55.6611
"Востряковское (Южное) иудейское - Боровское шоссе, проектируемый проезд N 634",37.453265913492125,55.65945278738478
"Головинское - Головинское ш., вл. 13",37.50211740262362,55.838086200000006
"Гольяновское - ул. Курганская, вл. 11",37.8131908845023,55.8310287843369
"Губцево - поселение Первомайское, д. Губцево",37.2083,55.5172
"Даниловское (Центральное) - 4-й Рощинский проезд, вл. 30",37.6089448572168,55.70369195000001
"Даниловское (мусульманское) - 2-й Рощинский проезд, вл. 10",37.60404650046853,55.70482575
"Девятское - поселение Рязановское, д. Девятское",37.5250,55.4972
"Долгопрудненское (Центральное) - Московская обл., г. Долгопрудный, Лихачевский проезд",37.5167,55.9444
"Долгопрудненское (Южное) - Московская обл., г. Долгопрудный, Лихачевский проспект",37.5167,55.9444
"Домодедовское - Московская область, г. Домодедово, вблизи д. Истомиха территория ""Домодедовское кладбище""",37.7542,55.4597
"Донское - Донская площадь, вл. 1",37.60104088222383,55.7139368
"Жохово - поселение Кленовское, д. Жохово",37.3417,55.3236
Захарьинское - ул. Николая Сироткина,37.5865397610944,55.49653731543337
"Зеленоградское (Центральное) - Зеленоград, пр-д 4921, д. 3, стр. 1 2",37.242321982657884,55.995851975718594
"Зеленоградское (Северное) - Зеленоград, пр-д N 710, д. 19, стр. 1, 3, 4",37.21543645567181,55.95271610989125
"Зосимова пустынь - поселение Новофедоровское, п. Зосимова пустынь",36.9447,55.3772
"Ивановское - ул. Сталеваров, вл. 6, стр. 1, 2, 3, 4, 5, 6",37.8333,55.7611
"Ивановское - поселение Сосенское, дер. Ямонтово",37.4583,55.5672
"Изваринское - поселение Внуковское, д. Изварино",37.2750,55.6336
"Измайловское - Измайловский пр., вл. 30",37.769163935399035,55.794409628706426
"Исаково - поселение Михайлово-Ярцевское, д. Исаково",37.1417,55.4472
"Калитниковское - Большой Калитниковский проезд, вл. 11",37.689111007429084,55.733380749999995
"Капотненское - 1-й квартал Капотня, 1-й Капотнинский проезд",37.8000,55.6389
"Качаловское - ул. Старокачаловская, вл. 8",37.58932519531577,55.56935505
"Кленово - поселение Кленовское, д. Кленово",37.3417,55.3236
"Клоково - поселение Первомайское, д. Клоково",37.2083,55.5172
"Котляковское - ул. Деловая, вл. 21",37.63851078745452,55.620571218580565
"Красное - поселение Краснопахорское, с. Красное",37.3750,55.4472
"Кувекинское - поселение Десеновское, д. Кувекино",37.3417,55.4972
"Кузнецово - поселение Новофедоровское, д. Кузнецово",36.9447,55.3772
"Кузьминское - ул. Академика Скрябина, вл. 19",37.79877583442785,55.70534925
"Кузьминское (мусульманское) - ул. Академика Скрябина, вл. 19",37.79877583442785,55.70534925
"Кунцевское - ул. Рябиновая, вл. 20",37.42083371349261,55.691758685270635
"Леоновское - 1-я ул. Леонова, вл. 8",37.64475545,55.84394475
"Летовское - поселение Сосенское, д. Летово",37.42228126072588,55.5574146
"Лианозовское - Московская область, Мытищинский район, юго-западная часть городского поселения Мытищи, 83-й км МКАД",37.5640,55.9121
"Лукошкино - поселение Кленовское, д. Лукошкино",37.3417,55.3236
"Люблинское - ул. Ставропольская, вл. 74А",37.78727218449583,55.67980410441192
"Маврино - поселение Кленовское, д. Маврино",37.3417,55.3236
"Медведковское - ул. Заповедная, вл. 7а",37.636962906864916,55.865408349061084
"Митинское - Московская область, Красногорский муниципальный район, сельское поселение Отрадненское, Пятницкое шоссе, 6 км",37.3500,55.8500
"Миусское - ул. Сущевский Вал, вл. 19",37.59960945,55.7930659
"Никольское - Зеленоград, пр-т Московский",37.23863370235152,55.99831988411164
"Никольское - поселение Вороновское, с. Никольское",37.2000104147819,55.365038867897795
"Николо-Архангельское (Центральное), Николо-Архангельское (Восточное) - Московская область, Балашихинский район, с. Никольско-Архангельское",37.898517658655415,55.74132127477102
"Николо-Хованское - поселение Сосенское, в районе Николо-Хованского кладбища, уч. N 27",37.450493022261995,55.616253662891864
"Николо-Хованское-1 - поселение Сосенское, в районе Николо-Хованского кладбища",37.42018002242469,55.60263832929326
"Новогромово - поселение Вороновское, д. Новогромово",37.0747,55.2836
"Новодевичье - Лужнецкий проезд, вл. 2",37.555785517317375,55.723705100000004
"Ознобишино - поселение Щаповское, вблизи с. Ознобишино",37.3417,55.3236
"Ореховское - Шипиловский проезд, вл. 20; ул. Дольская, вл. 1",37.7167,55.6167
Орловское - ул. Староорловская,37.377974161552494,55.6320044781571
"Останкинское - Прудовый пр., вл. 11",37.6133252556659,55.81648670426571
"Остафьево - поселение Рязановское, вблизи с. Остафьево",37.5250,55.4972
"Переделкинское - поселение Внуковское, пос. ДСК ""Мичуринец""",37.2750,55.6336
"Передельцевское - поселение Московский, г. Московский",37.37689948449184,55.58668107961708
"Перепечинское - Московская обл., Солнечногорский р-н, с.п. Луневское, д. Перепечино",37.388214999191604,56.0079737314103
Перловское - МКАД 92 км,37.701281498289724,55.89335435895971
"Перовское - ул. Кетчерская, вл. 20",37.83857418252241,55.7427842
"Песье - поселение Щаповское, д. Песье",37.3417,55.3236
"Покровское - ул. Подольских Курсантов, вл. 24",37.634273248822936,55.59698635
"Поповка - поселение Первомайское, д. Поповка",37.24126710709442,55.515854420244345
"Преображенское - ул. Преображенский Вал, вл. 17А",37.71960337517975,55.792006549999996
"Прокшинское - поселение Сосенское, д. Прокшино",37.4583,55.5672
"Пучково - поселение Первомайское, д. Пучково",37.2083,55.5172
"Пыхтинское - поселение Внуковское, с. Пыхтино",37.2750,55.6336
"Пятницкое - Дроболитейный пер., вл. 3, стр. 5, 9",37.6000,55.7833
"Раево - поселение Краснопахорское, д. Раево",37.3750,55.4472
"Раевское - Олонецкий пр., вл. 2",37.66015760517797,55.873198450000004
"Ракитки - поселение Десеновский, в районе д. Десна",37.3417,55.4972
"Рогожское - ул. Войтовича, вл. 31А",37.856185553978555,55.755292986077514
"Рождественно - поселение Роговское, д. Рождественно",37.0750,55.2072
"Рождественское - 1-я Муравская ул., вл. 39",37.367658343791945,55.86068855
"Романцево - поселение Краснопахорское, д. Романцево",37.3750,55.4472
Рублевское - пос. Рублево,37.3667,55.7833
"Руднево - поселение Новофедоровское, д. Руднево",36.9447,55.3772
"Саларьевское - поселение Московский, д. Саларьево",37.4250,55.6172
"Сальково - поселение Кленовское, д. Сальково",37.3417,55.3236
"Сатино-Русское - поселение Щаповское, д. Сатино-Русское",37.3417,55.3236
"Свитино - поселение Вороновское, с. Свитино",37.0747,55.2836
"Середневское - поселение Филимонковское, д. Середнево",37.3417,55.5672
"Сосенское - поселение Сосенское, д. Сосенки",37.4518,55.5599
"Спас-Купля - поселение Роговское, д. Спас-Купля",37.0750,55.2072
Станиславское - деревня Станиславль,37.3417,55.3236
"Старо-Марковское - Дмитровское ш., вл. 124/А",37.5503449,55.9250168
"Старо-Покровское - 1-й Дорожный проезд, вл. 10",37.180984485603915,55.602725050000004
"Товарищево-1 - поселение Кленовское, дер. Товарищево",37.28078364008182,55.356383745965
"Троекуровское - ул. Рябиновая, вл. 24",37.420619140098594,55.70669613722916 
"Троице-Лыковское - ул. Твардовского, вл. 12, корп. 3",37.3833,55.8000
"Троицкое городское - поселение Краснопахорское, вблизи д. Подосинки",37.3750,55.4472
"Филимонковское - поселение Филимонковское, п. Филимонки",37.3417,55.5672
"Хатминки - поселение Первомайское, д. Хатминки",37.2083,55.5172
"Химкинское - Новосходненское ш., вл. 1",37.38646046439643,55.9177168
"Хованское (Центральное) <1> - поселение ""Мосрентген"", 21-й км Киевского ш",37.4333,55.6167
"Хованское (Северное) - поселение Мосрентген",37.4333,55.6167
"Хованское (Западное) - поселение Сосенское, Хованское Западное кладбище",37.4583,55.5672
"Черкизовское - ул. Большая Черкизовская, вл. 15",37.73301023735266,55.802554099999995
"Черкизовское - Проектируемый проезд N 5363, Черкизовское кладбище, д. 1",37.7333,55.8000
"Черневское - Южное Бутово, по улице Южнобутовской",37.5639,55.5269
"Чириково - поселение Краснопахорское, д. Чириково",37.3750,55.4472
"Щапово - поселение Щаповское, п. Щапово",37.3417,55.3236
"Щербинское - Московская область, Подольский район, сельское поселение Стрелковское, 29 км автодороги М-2 ""Крым"", Щербинский проезд",37.5594,55.5072
"Юдановка - поселение Вороновское, д. Юдановка",37.0747,55.2836
"Ясеневское - Новоясеневский просп., вл. 42",37.54985152187598,55.59916575
"Ястребковское - Московская обл., Одинцовский р-н",37.02114758949298,55.6271998
"Яковлевское - поселение Десеновское, д. Яковлево",37.3417,55.4972
"Митинский крематорий - Московская область, Красногорский район, Пятницкое ш., 6 км",37.345749231357004,55.861949100000004
"Хованский крематорий - г.Москва, п.Сосенское, ул.Адмирала Корнилова, д.42, стр.1",37.4583,55.5672
"Николо-Архангельский крематорий - Московская область, Балашихинский район, г. Балашиха, мкр-н Салтыковка, ул. Окольная, вл. 4.",37.8667,55.7667
