edu,sort,lat,lon
b6b8b928-94b7-4d00-8297-7bc2a5ab4e6b,Школы,55.85686,37.62219
8244fcc4-76ff-45f7-849e-7d9354ff4f6d,Школы,55.694817,37.736236
eb9169b3-48c1-40c9-a097-e106b6af1359,Школы,55.803702,37.634879
51438b35-2258-48c5-9a57-25b5a5488021,Школы,55.779793,37.596941
df4a55d9-a67f-4da7-8fa9-aaa51bb16ece,ДОО,55.787299,37.496322
dc21b962-9ec5-41b8-9417-4083b6a421d2,ДОО,55.801164,37.499303
b3086a69-8c28-426b-b314-4cf878daa94c,ДОО,55.675491,37.496832
07bec3bc-f690-4259-b8c2-43fa23cfca11,ДОО,55.715861,37.505795
3cb97c2b-6005-480d-974b-246d9f5c4a1d,ДОО,55.668449,37.510087
a9766b35-397d-498c-b640-2ed6d5d6b063,ДОО,55.81972,37.513336
ff5770a1-b32f-48a3-8638-62d0bf4b0c44,ДОО,55.721487,37.568999
6ed0ac33-bec5-4887-ab20-392c577c0cb2,ДОО,55.717778,37.575041
43ccdd6d-4cef-4ae3-87b8-d65fd7c7f491,ДОО,55.694009,37.579949
93f11722-2ff7-4b9f-bc10-9f7ad192527c,ДОО,55.74382,37.58038
7c6eebce-c62d-4782-9fb7-960be207b470,ДОО,55.679526,37.580917
33682191-1aed-445d-9bae-8b7583c5291a,ДОО,55.786398,37.592498
1449dd46-a0e7-403d-80e8-80d890477463,ДОО,55.780161,37.595798
775d95b7-82d4-4192-8deb-04c57847154f,ДОО,55.656925,37.387728
27b581c0-aa8e-4895-abce-8d9088f3e1e9,ДОО,55.64044,37.40369
0e79b34b-8ff3-4ca2-a207-56d3dddb5b29,ДОО,55.646803,37.496025
78a2ce5f-6172-48c8-a470-c25f012b5087,ДОО,55.646792,37.497378
f3cfb8a7-e60f-4c23-98ee-16fa74e813f0,Школы,55.874542,37.642879
784ce470-9212-4756-9bc2-c7b1087f58b8,Школы,55.838642,37.527099
63e21a7a-3b2d-4ff6-a0ec-c2c0aca8bf1f,Школы,55.826897,37.462021
bcd513db-cf47-49a1-98f9-8d8a41d3f87e,Школы,55.726081,37.564868
51d05b3c-fd16-43df-8a02-035852c80f09,Школы,55.784241,37.531424
96d0dc63-87c3-4b5c-a7d2-4064eb6b7919,Школы,55.553467,37.530309
75151ab9-7a8c-40cf-b1b0-7c550e4302fb,Школы,55.841566,37.38866
ca0f79f5-390e-4882-b503-6956fb7e8e7c,Школы,55.65773,37.40646
2ee794e1-340e-457b-bf90-fe44879e8f88,Школы,55.91507,37.548479
ff0794ed-de22-4273-a085-6cd59ae51e96,Школы,55.684895,37.57419
695bec82-2695-442f-acc1-b4bb84754bcd,Школы,55.682212,37.570966
569571,Школы,55.623048,37.660564
fdd63f25-7dc1-4e86-ab0e-d14533a18e9e,Школы,55.73531,37.684643
12601262,Школы,55.605909,37.576974
4f150d42-7ce9-4160-86bb-e6f9a960fc50,Школы,55.703896,37.864993
6562f869-f9f1-4afd-b8bf-349afe9a08d2,Школы,55.717567,37.883662
e34b51ff-7416-4939-988b-a1943d4ccdbd,Школы,55.709977,37.887218
52c575f7-045c-4c8b-b466-3b66f0b9826c,Школы,55.710453,37.887014
9c270e9f-5ce5-452d-af21-6c7ffa704162,Школы,55.720642,37.894849
71df4734-0dc2-489e-9926-3e6524076a8d,ДОО,55.778585,37.498559
