med,sort,lat,lon
238770,Городские поликлиники,55.475551,37.292196
238776,Городские поликлиники,55.978293,37.167879
238778,Городские поликлиники,55.703953,37.739566
238780,Городские поликлиники,55.617905,37.652438
238781,Городские поликлиники,55.688731,37.559884
238785,Городские поликлиники,55.550961,37.327881
238786,Городские поликлиники,55.526535,37.21489
238788,Городские поликлиники,55.617974,37.655388
238789,Городские поликлиники,55.74667,37.650738
2387101,Городские поликлиники,55.743218,37.40828
238887,Городские поликлиники,55.781404,37.554589
46851,Стоматологические поликлиники,55.845316,37.567641
46852,Стоматологические поликлиники,55.818172,37.572554
46853,Стоматологические поликлиники,55.787538,37.59973
46854,Стоматологические поликлиники,55.731021,37.741629
46855,Стоматологические поликлиники,55.699198,37.848163
46856,Стоматологические поликлиники,55.697779,37.55493
46857,Стоматологические поликлиники,55.771321,37.417183
46858,Стоматологические поликлиники,55.703355,37.569947
46859,Стоматологические поликлиники,55.795678,37.581297
468514,Стоматологические поликлиники,55.674376,37.515408
468510,Стоматологические поликлиники,55.874728,37.512603
468511,Стоматологические поликлиники,55.75644,37.715341
468512,Стоматологические поликлиники,55.74496,37.7209
468513,Стоматологические поликлиники,55.61063,37.534688
468556,Стоматологические поликлиники,55.74014,37.515121
468515,Стоматологические поликлиники,55.831856,37.452649
468516,Стоматологические поликлиники,55.642881,37.401521
468517,Стоматологические поликлиники,55.725856,37.629324
468518,Стоматологические поликлиники,55.809569,37.640221
468519,Стоматологические поликлиники,55.731898,37.580821
468520,Стоматологические поликлиники,55.749454,37.77931
468521,Стоматологические поликлиники,55.744561,37.562175
468522,Стоматологические поликлиники,55.745505,37.563396
468523,Стоматологические поликлиники,55.638846,37.339952
468524,Стоматологические поликлиники,55.651167,37.617342
468525,Стоматологические поликлиники,55.707274,37.676358
468526,Стоматологические поликлиники,55.869118,37.652931
468527,Стоматологические поликлиники,55.872416,37.710232
468528,Стоматологические поликлиники,55.69485,37.747734
468529,Стоматологические поликлиники,55.699402,37.749065
468530,Стоматологические поликлиники,55.976605,37.159328
468531,Стоматологические поликлиники,55.64508,37.525072
468532,Стоматологические поликлиники,55.859705,37.524201
468533,Стоматологические поликлиники,55.781612,37.664589
468534,Стоматологические поликлиники,55.649819,37.717889
468535,Стоматологические поликлиники,55.765425,37.650116
468536,Стоматологические поликлиники,55.756455,37.640148
468537,Стоматологические поликлиники,55.763139,37.639402
468538,Стоматологические поликлиники,55.801005,37.721663
468550,Стоматологические поликлиники,55.77239,37.606406
468539,Стоматологические поликлиники,55.797836,37.406639
468540,Стоматологические поликлиники,55.783344,37.46702
468541,Стоматологические поликлиники,55.899347,37.584936
468542,Стоматологические поликлиники,55.618356,37.665588
468543,Стоматологические поликлиники,55.590802,37.653651
468544,Стоматологические поликлиники,55.568712,37.579141
468545,Стоматологические поликлиники,55.548985,37.534702
468546,Стоматологические поликлиники,55.847726,37.352019
468547,Стоматологические поликлиники,55.894137,37.391242
468548,Стоматологические поликлиники,55.727967,37.674327
468549,Стоматологические поликлиники,55.739211,37.863734
468551,Стоматологические поликлиники,55.652639,37.763735
468552,Стоматологические поликлиники,55.799831,37.547253
468553,Стоматологические поликлиники,55.802652,37.467776
468554,Стоматологические поликлиники,55.702761,37.775834
468555,Стоматологические поликлиники,55.8021,37.46924
468557,Стоматологические поликлиники,55.624761,37.313144
468558,Стоматологические поликлиники,55.720442,37.581328
468559,Стоматологические поликлиники,55.719399,37.581064
468560,Стоматологические поликлиники,55.672337,37.743753
468561,Стоматологические поликлиники,55.818342,37.822665
468573,Стоматологические поликлиники,55.79161,37.815299
468562,Стоматологические поликлиники,55.713729,37.88524
468563,Стоматологические поликлиники,55.815796,37.588908
